產品
客戶/通路,合作方式/MOQ,品名,2025訂購數量,批價,產品成本,商品毛利,商品毛利率,營業費用,發票5%,費用小計,淨利,淨利率,商品貢獻淨利,營業額,淨利率
ODM/貼牌,品牌方提供產品規格、設計圖、配方，代工廠依此生產。,,,,,,,,,,,,233288.00694799994,1523247,0.1531517915006561
"批發-台糖
(單顆包裝夾鏈袋260g)",長期合作，看他們貨量，有叫就送沒有固定,原味黑糖 ,,130,25,105,0.8076923076923077,67.33774666666667,6.5,73.83774666666667,31.162253333333325,0.23970964102564096,0,0
,,薑汁黑糖,,140,28,112,0.8,72.51757333333333,7,79.51757333333333,32.48242666666667,0.23201733333333335,0,0
,,桂圓黑糖,,140,31,109,0.7785714285714286,72.51757333333333,7,79.51757333333333,29.48242666666667,0.21058876190476192,0,0
,,玫瑰四物黑糖,,140,28,112,0.8,72.51757333333333,7,79.51757333333333,32.48242666666667,0.23201733333333335,0,0
,,桂圓紅棗薑黑糖,272,140,31,109,0.7785714285714286,72.51757333333333,7,79.51757333333333,29.48242666666667,0.21058876190476192,8019.220053333333,38080
,,冬瓜,98,140,28,112,0.8,72.51757333333333,7,79.51757333333333,32.48242666666667,0.23201733333333335,3183.2778133333336,13720
"批發-台糖
(手切夾鏈袋380g)",長期合作，看他們貨量，有叫就送沒有固定,原味黑糖 ,300,117,22,95,0.811965811965812,60.603972000000006,5.8500000000000005,66.45397200000001,28.546027999999993,0.24398314529914525,8563.808399999998,35100
,,薑汁黑糖,375,117,25,92,0.7863247863247863,60.603972000000006,5.8500000000000005,66.45397200000001,25.546027999999993,0.2183421196581196,9579.760499999997,43875
,,桂圓黑糖,163,130,30,100,0.7692307692307693,67.33774666666667,6.5,73.83774666666667,26.162253333333325,0.2012481025641025,4264.447293333332,21190
,,玫瑰四物黑糖,246,130,24,106,0.8153846153846154,67.33774666666667,6.5,73.83774666666667,32.162253333333325,0.24740194871794866,7911.914319999998,31980
"批發-農會
(手切夾鏈袋380g)",36包(一箱),原味黑糖 ,360,110,22,88,0.8,56.978093333333334,5.5,62.478093333333334,25.521906666666666,0.23201733333333333,9187.8864,39600
,,薑汁黑糖,756,110,25,85,0.7727272727272727,56.978093333333334,5.5,62.478093333333334,22.521906666666666,0.20474460606060604,17026.561439999998,83160
,,桂圓黑糖,396,122,30,92,0.7540983606557377,63.19388533333334,6.1000000000000005,69.29388533333334,22.706114666666664,0.18611569398907102,8991.621407999999,48312
,,玫瑰四物黑糖,360,122,24,98,0.8032786885245902,63.19388533333334,6.1000000000000005,69.29388533333334,28.706114666666664,0.23529602185792348,10334.20128,43920
"貼牌客戶-埔里農會
(手切夾鏈袋380g)",36包(一箱),原味黑糖 ,288,99,22,77,0.7777777777777778,51.280284,4.95,56.230284000000005,20.769715999999995,0.20979511111111107,5981.678207999998,28512
,,薑汁黑糖,1980,99,25,74,0.7474747474747475,51.280284,4.95,56.230284000000005,17.769715999999995,0.17949208080808077,35184.037679999994,196020
,,桂圓黑糖,828,110,30,80,0.7272727272727273,56.978093333333334,5.5,62.478093333333334,17.521906666666666,0.1592900606060606,14508.138719999999,91080
,,玫瑰四物黑糖,468,110,24,86,0.7818181818181819,56.978093333333334,5.5,62.478093333333334,23.521906666666666,0.21383551515151514,11008.25232,51480
"批發-
(手切夾鏈袋380g)",36包(一箱),原味黑糖 ,,135,33.3,101.7,0.7533333333333333,69.92766,6.75,76.67766,25.02234,0.18535066666666666,0,0
,,薑汁黑糖,,135,36.3,98.7,0.7311111111111112,69.92766,6.75,76.67766,22.02234,0.16312844444444444,0,0
,,桂圓黑糖,,150,41.5,108.5,0.7233333333333334,77.6974,7.5,85.1974,23.302599999999998,0.15535066666666666,0,0
,,玫瑰四物黑糖,,150,35.3,114.7,0.7646666666666667,77.6974,7.5,85.1974,29.5026,0.196684,0,0
手切(每台斤),40台斤(一箱),原味黑糖 ,240,100,21,79,0.79,51.79826666666667,5,56.79826666666667,22.20173333333333,0.2220173333333333,5328.415999999999,24000
,,薑汁黑糖,1020,110,27,83,0.7545454545454545,56.978093333333334,5.5,62.478093333333334,20.521906666666666,0.18656278787878788,20932.3448,112200
,,桂圓黑糖,120,140,33,107,0.7642857142857142,72.51757333333333,7,79.51757333333333,27.48242666666667,0.19630304761904763,3297.8912,16800
,,玫瑰四物黑糖,40,130,26,104,0.8,67.33774666666667,6.5,73.83774666666667,30.162253333333325,0.23201733333333327,1206.490133333333,5200
單顆包(每台斤）,25台斤(一箱),原味黑糖 ,,100,34,66,0.66,51.79826666666667,5,56.79826666666667,9.20173333333333,0.0920173333333333,0,0
,,薑汁黑糖,,130,40,90,0.6923076923076923,67.33774666666667,6.5,73.83774666666667,16.162253333333325,0.12432502564102557,0,0
,,桂圓黑糖,,130,47,83,0.6384615384615384,67.33774666666667,6.5,73.83774666666667,9.162253333333325,0.07047887179487174,0,0
,,玫瑰四物黑糖,,130,39,91,0.7,67.33774666666667,6.5,73.83774666666667,17.162253333333325,0.13201733333333326,0,0
,,桂圓紅棗薑,,150,46,104,0.6933333333333334,77.6974,7.5,85.1974,18.802599999999998,0.12535066666666667,0,0
,,冬瓜,,140,41,99,0.7071428571428572,72.51757333333333,7,79.51757333333333,19.48242666666667,0.1391601904761905,0,0
蜜類-350ml,,黑糖蜜,2362,130,38.6,91.4,0.7030769230769232,67.33774666666667,6.5,73.83774666666667,17.56225333333333,0.13509425641025638,41482.04237333332,307060
蜜類-150ml,,黑糖檸檬,63,117,51.3,65.7,0.5615384615384615,60.603972000000006,5.8500000000000005,66.45397200000001,-0.7539720000000045,-0.006444205128205167,-47.500236000000285,7371
,,百香果黑糖,40,117,48,69,0.5897435897435898,60.603972000000006,5.8500000000000005,66.45397200000001,2.5460279999999926,0.021760923076923015,101.8411199999997,4680
,,梅精黑糖,109,143,47,96,0.6713286713286714,74.07152133333334,7.15,81.22152133333334,14.778478666666658,0.1033460046620046,1610.8541746666656,15587
蜜類-1890ml,,黑糖蜜,50,,,,,,,,,,0,0
蜜類-1890ml,,梅精黑糖,45,,,,,,,,,,0,0
通路上架,,,,,,,,,,,,,,0
日月町罐裝(160g）,,原味黑糖 ,,126,43,83,0.6587301587301587,65.265816,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207,,0
,,薑汁黑糖,,126,43,83,0.6587301587301587,65.265816,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207,,0
,,桂圓黑糖,,126,43,83,0.6587301587301587,65.265816,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207,,0
,,玫瑰四物黑糖,,126,43,83,0.6587301587301587,65.265816,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207,,0
,,桂圓紅棗薑,,126,43,83,0.6587301587301587,65.265816,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207,,0
