,請填寫黃底欄位，其餘欄位勿動，各費用占比請於分頁1調整,,,,,,,,,,,,,,,
,產品成本：讓產品可直接販售產生的所有成本 (原料/外包裝/製作人事/製造設備攤提折舊..等）,,,,,,,,,,,,,,,
產品,,,,,,,,,銷售費用,,,,,,,
通路/規格,MOQ,品名,售價,批價,基本折數,產品成本,商品毛利,商品毛利率,運費負擔,營業費用,行銷費用,金流費用,發票5%,費用小計,淨利,淨利率
ODM/貼牌,品牌方提供產品規格、設計圖、配方，代工廠依此生產。,,,,,,,,,,,,,,,
"批發-台糖
(單顆包裝夾鏈袋260g)
,,薑汁黑糖,180,126,70%,43,83 ,65.87%,0.0,65.265816,0,0,6.3,71.6,11 ,9.07%
,,桂圓黑糖,180,126,70%,43,83 ,65.87%,0.0,65.265816,0,0,6.3,71.6,11 ,9.07%
,,玫瑰四物黑糖,180,126,70%,43,83 ,65.87%,0.0,65.265816,0,0,6.3,71.6,11 ,9.07%
,,桂圓紅棗薑,180,126,70%,43,83 ,65.87%,0.0,65.265816,0,0,6.3,71.6,11 ,9.07%
,,冬瓜,180,126,70%,43,83 ,65.87%,0.0,65.265816,0,0,6.3,71.6,11 ,9.07%
日月町禮盒組,,2入任搭組合,430,301,70%,172,129 ,42.86%,0.0,155.9127827,0,0,15.05,171.0,-42 ,-13.94%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OEM：客戶提供產品規格、設計圖、配方，我們依照客戶需求生產。,,,,,,,,,,,,,,,,
科技中藥廠,40台斤(一箱),黑糖薑母茶,,112,,46,66 ,58.93%,0.0,58.01405867,0,0,5.6,63.6,2 ,2.13%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,競品,,,,,,,,,,,,,,,
,就是愛海鮮,"海陸奢華霸王組8~10人
贈玫瑰鹽一罐(市價89元)","6,680","5,680",,,,,,,,,,,,
,真美味,五星級海陸烤肉組(5-8人份),"1,688","1,570",,,,,,,,,,,,
,達米肉舖,超值燒肉烤肉組,"2,000","2,000",,,,,,,,,,,,
,愛上吃肉,中秋烤肉海陸豪華14件組(約5-7人/份),"2,390","1,580",,,,,,,,,,,,
