,請填寫黃底欄位，其餘欄位勿動，各費用占比請於分頁1調整,,,,,,,,,,,,,,
,產品成本：讓產品可直接販售產生的所有成本 (原料/外包裝/製作人事/製造設備攤提折舊..等）,,,,,,,,,,,,,,
產品,,,,,,,,,,,,,,,
客戶/通路,合作方式/MOQ,品名,2025訂購數量,批價,產品成本,商品毛利,商品毛利率,營業費用,發票5%,費用小計,淨利,淨利率,商品貢獻淨利,營業額,
ODM/貼牌,品牌方提供產品規格、設計圖、配方，代工廠依此生產。,,,,,,,,,,,,227657,1258927,18.08%
"批發-台糖
,,桂圓紅棗薑,,126,43,83 ,65.87%,65.265816,6.3,71.6,11 ,9.07%,,0,
,,冬瓜,,126,43,83 ,65.87%,65.265816,6.3,71.6,11 ,9.07%,,0,
日月町禮盒組,,2入任搭組合,,301,172,129 ,42.86%,155.9127827,15.05,171.0,-42 ,-13.94%,,0,
OEM：客戶提供產品規格、設計圖、配方，我們依照客戶需求生產。,,,,,,,,,,,,,,,
科技中藥廠,40台斤(一箱),黑糖薑母茶,2360,112,46,66 ,58.93%,58.01405867,5.6,63.6,2 ,2.13%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,競品,,,,,,,,,,,,,,
,就是愛海鮮,"海陸奢華霸王組8~10人
贈玫瑰鹽一罐(市價89元)","6,680","5,680",,,,,,,,,,,
,真美味,五星級海陸烤肉組(5-8人份),"1,688","1,570",,,,,,,,,,,
,達米肉舖,超值燒肉烤肉組,"2,000","2,000",,,,,,,,,,,
,愛上吃肉,中秋烤肉海陸豪華14件組(約5-7人/份),"2,390","1,580",,,,,,,,,,,
