source_file,source_row,raw_route,raw_moq,channel_type,channel_name,product_name_raw,product_name_std,package_type,unit_quantity,unit,sales_unit,quantity_2025,wholesale_price,product_cogs,gross_profit_per_unit,gross_margin,operating_expense_per_unit,invoice_tax_per_unit,expense_subtotal_per_unit,reported_net_profit_per_unit,calculated_net_profit_per_unit,net_profit_per_unit,reported_contribution_profit,calculated_contribution_profit,contribution_profit,reported_revenue,calculated_revenue,revenue,revenue_source,profit_source,analysis_sku,quality_flags
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,20,"貼牌客戶-埔里農會
(手切夾鏈袋380g)",36包(一箱),貼牌,埔里農會,原味黑糖 ,原味黑糖,手切夾鏈袋,380.0,g,,288.0,99.0,22.0,77.0,77.78,51.280284,4.95,56.2,21.0,20.769716,20.769716,5982.0,5981.678207999999,5982.0,28512.0,28512.0,28512.0,reported,reported,原味黑糖 _埔里農會_手切夾鏈袋_99.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,21,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,1980.0,99.0,25.0,74.0,74.75,51.280284,4.95,56.2,18.0,17.769716,17.769716,35184.0,35184.03768,35184.0,196020.0,196020.0,196020.0,reported,reported,薑汁黑糖_None_None_99.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,22,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,828.0,110.0,30.0,80.0,72.73,56.97809333,5.5,62.5,18.0,17.52190667,17.52190667,14508.0,14508.13872276,14508.0,91080.0,91080.0,91080.0,reported,reported,桂圓黑糖_None_None_110.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,23,,,未分類,,玫瑰四物黑糖,玫瑰四物黑糖,,,,,468.0,110.0,24.0,86.0,78.18,56.97809333,5.5,62.5,24.0,23.52190667,23.52190667,11008.0,11008.25232156,11008.0,51480.0,51480.0,51480.0,reported,reported,玫瑰四物黑糖_None_None_110.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,24,"批發-
(手切夾鏈袋380g)",36包(一箱),批發,,原味黑糖 ,原味黑糖,手切夾鏈袋,380.0,g,,,135.0,33.0,102.0,75.33,69.92766,6.75,76.7,25.0,25.322339999999997,25.322339999999997,0.0,,0.0,0.0,,0.0,reported,reported,原味黑糖 _None_手切夾鏈袋_135.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,25,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,,135.0,36.0,99.0,73.11,69.92766,6.75,76.7,22.0,22.322339999999997,22.322339999999997,0.0,,0.0,0.0,,0.0,reported,reported,薑汁黑糖_None_None_135.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,26,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,,150.0,42.0,109.0,72.33,77.6974,7.5,85.2,23.0,23.802599999999998,23.802599999999998,0.0,,0.0,0.0,,0.0,reported,reported,桂圓黑糖_None_None_150.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,27,,,未分類,,玫瑰四物黑糖,玫瑰四物黑糖,,,,,,150.0,35.0,115.0,76.47,77.6974,7.5,85.2,30.0,29.802599999999998,29.802599999999998,0.0,,0.0,0.0,,0.0,reported,reported,玫瑰四物黑糖_None_None_150.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,28,手切(每台斤),40台斤(一箱),未分類,,原味黑糖 ,原味黑糖,手切,600,g,台斤,240.0,100.0,21.0,79.0,79.0,51.79826667,5.0,56.8,22.0,22.201733330000003,22.201733330000003,5328.0,5328.4159992,5328.0,24000.0,24000.0,24000.0,reported,reported,原味黑糖 _None_手切_100.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,29,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,1020.0,110.0,27.0,83.0,75.45,56.97809333,5.5,62.5,21.0,20.52190667,20.52190667,20932.0,20932.3448034,20932.0,112200.0,112200.0,112200.0,reported,reported,薑汁黑糖_None_None_110.0,missing_spec
